,corporate_number,name,subsidy_title,amount,date_of_approval
9964,5370202000797,有限会社十日町調剤薬局,令和２年度新型コロナウイルス感染症感染拡大防止・医療提供体制確保支援補助金,200000,2021-08-26
9963,5370202000797,有限会社十日町調剤薬局,令和３年度新型コロナウイルス感染症感染拡大防止継続支援補助金,60000,2022-03-30
9965,5370202001127,有限会社宮城りょくせい,米の直接支払交付金,415500,2017-11-27
9966,5370202001127,有限会社宮城りょくせい,経営所得安定対策,347250,2015-11-27
9967,5370202001127,有限会社宮城りょくせい,経営所得安定対策,234382,2015-06-18
9968,5370202003222,有限会社ジャンボン・メゾン,平成２９年度小規模事業者支援パッケージ事業費補助金,0,2018-07-19
9990,5370202003412,有限会社富士物産,水田活用の直接支払交付金,555200,2017-12-21
9986,5370202003412,有限会社富士物産,水田活用の直接支払交付金,4071000,2018-12-06
9987,5370202003412,有限会社富士物産,畑作物の直接支払交付金,1748000,2018-09-21
9988,5370202003412,有限会社富士物産,畑作物の直接支払交付金,961390,2018-03-23
9989,5370202003412,有限会社富士物産,水田活用の直接支払交付金,88090,2018-03-23
9991,5370202003412,有限会社富士物産,水田活用の直接支払交付金,2681000,2017-12-18
9983,5370202003412,有限会社富士物産,水田活用直接支払交付金,4393560,2019-12-10
9993,5370202003412,有限会社富士物産,経営所得安定対策,3511110,2016-03-22
9994,5370202003412,有限会社富士物産,経営所得安定対策,1729800,2015-12-22
9995,5370202003412,有限会社富士物産,経営所得安定対策,4917000,2015-12-07
9996,5370202003412,有限会社富士物産,経営所得安定対策,2416000,2015-09-15
9997,5370202003412,有限会社富士物産,経営所得安定対策,677337,2015-05-26
9985,5370202003412,有限会社富士物産,畑作物の直接支払交付金,647095,2019-03-13
9992,5370202003412,有限会社富士物産,米の直接支払交付金,1131750,2017-11-21
9984,5370202003412,有限会社富士物産,畑作物の直接支払交付金,1840000,2019-10-03
9978,5370202003412,有限会社富士物産,畑作物の直接支払交付金,2461730,2022-03-16
9982,5370202003412,有限会社富士物産,畑作物の直接支払交付金,1630000,2020-09-24
9970,5370202003412,有限会社富士物産,水田活用直接支払交付金,178000,2024-03-15
9971,5370202003412,有限会社富士物産,水田活用直接支払交付金,2406106,2024-02-14
9972,5370202003412,有限会社富士物産,水田活用直接支払交付金,7635180,2023-12-06
9974,5370202003412,有限会社富士物産,水田活用直接支払交付金,131760,2023-03-15
9975,5370202003412,有限会社富士物産,水田活用直接支払交付金,2430000,2023-02-15
9973,5370202003412,有限会社富士物産,畑作物の直接支払交付金,2094000,2023-09-27
9977,5370202003412,有限会社富士物産,畑作物の直接支払交付金,2058000,2022-09-28
9969,5370202003412,有限会社富士物産,畑作物の直接支払交付金,937470,2024-03-15
9979,5370202003412,有限会社富士物産,水田活用直接支払交付金,341640,2022-03-16
9980,5370202003412,有限会社富士物産,水田活用直接支払交付金,2340000,2022-02-16
9981,5370202003412,有限会社富士物産,水田活用直接支払交付金,8353510,2021-12-01
9976,5370202003412,有限会社富士物産,水田活用直接支払交付金,7555215,2022-12-02
10007,5370202003858,有限会社ライスアーティスト,水田活用の直接支払交付金,180000,2018-12-04
10012,5370202003858,有限会社ライスアーティスト,経営所得安定対策,1720737,2015-05-26
10011,5370202003858,有限会社ライスアーティスト,経営所得安定対策,1016250,2015-12-01
10010,5370202003858,有限会社ライスアーティスト,米の直接支払交付金,837750,2017-11-27
10009,5370202003858,有限会社ライスアーティスト,水田活用の直接支払交付金,660000,2017-12-21
10008,5370202003858,有限会社ライスアーティスト,水田活用の直接支払交付金,579000,2018-02-19
10006,5370202003858,有限会社ライスアーティスト,水田活用直接支払交付金,1027900,2021-12-13
10004,5370202003858,有限会社ライスアーティスト,水田活用直接支払交付金,148310,2022-03-16
10003,5370202003858,有限会社ライスアーティスト,農業経営安定事業収入減少影響緩和対策交付金,815193,2022-06-21
10002,5370202003858,有限会社ライスアーティスト,水田活用直接支払交付金,492500,2022-12-07
10001,5370202003858,有限会社ライスアーティスト,水田活用直接支払交付金,215500,2023-03-23
10000,5370202003858,有限会社ライスアーティスト,農業経営安定事業収入減少影響緩和対策交付金,674971,2023-06-16
9999,5370202003858,有限会社ライスアーティスト,水田活用直接支払交付金,770800,2023-12-13
9998,5370202003858,有限会社ライスアーティスト,水田活用直接支払交付金,520500,2024-03-15
10005,5370202003858,有限会社ライスアーティスト,水田活用直接支払交付金,418723,2022-01-19
10026,5370202004212,有限会社蕪栗千葉農場,畑作物の直接支払交付金,340000,2019-10-03
10027,5370202004212,有限会社蕪栗千葉農場,水田活用の直接支払交付金,465500,2018-12-14
10028,5370202004212,有限会社蕪栗千葉農場,水田活用の直接支払交付金,17425,2018-03-23
10029,5370202004212,有限会社蕪栗千葉農場,水田活用の直接支払交付金,446900,2018-02-05
10030,5370202004212,有限会社蕪栗千葉農場,水田活用の直接支払交付金,2267485,2017-12-20
10034,5370202004212,有限会社蕪栗千葉農場,経営所得安定対策,1527200,2015-12-15
10032,5370202004212,有限会社蕪栗千葉農場,経営所得安定対策,442041,2016-02-23
10033,5370202004212,有限会社蕪栗千葉農場,経営所得安定対策,160800,2015-12-22
10035,5370202004212,有限会社蕪栗千葉農場,経営所得安定対策,1528500,2015-11-27
10036,5370202004212,有限会社蕪栗千葉農場,経営所得安定対策,2734482,2015-05-26
10031,5370202004212,有限会社蕪栗千葉農場,米の直接支払交付金,1849500,2017-11-27
10025,5370202004212,有限会社蕪栗千葉農場,水田活用直接支払交付金,689500,2019-12-17
10017,5370202004212,有限会社蕪栗千葉農場,水田活用直接支払交付金,50440,2023-03-23
10023,5370202004212,有限会社蕪栗千葉農場,水田活用直接支払交付金,1898792,2021-12-08
10022,5370202004212,有限会社蕪栗千葉農場,水田活用直接支払交付金,223440,2022-01-19
10021,5370202004212,有限会社蕪栗千葉農場,水田活用直接支払交付金,97090,2022-03-23
10020,5370202004212,有限会社蕪栗千葉農場,畑作物の直接支払交付金,376000,2022-09-28
10019,5370202004212,有限会社蕪栗千葉農場,水田活用直接支払交付金,2404602,2022-12-21
10018,5370202004212,有限会社蕪栗千葉農場,水田活用直接支払交付金,138000,2023-01-18
10024,5370202004212,有限会社蕪栗千葉農場,水田活用直接支払交付金,102000,2020-01-22
10016,5370202004212,有限会社蕪栗千葉農場,畑作物の直接支払交付金,416000,2023-09-27
10015,5370202004212,有限会社蕪栗千葉農場,水田活用直接支払交付金,2148500,2023-12-06
10014,5370202004212,有限会社蕪栗千葉農場,水田活用直接支払交付金,69040,2024-02-21
10013,5370202004212,有限会社蕪栗千葉農場,水田活用直接支払交付金,61500,2024-03-22
10038,5370202004617,有限会社只見工業所,平成２９年度小規模事業者支援パッケージ事業費補助金,0,2018-07-19
10037,5370202004617,有限会社只見工業所,平成３０年度小規模事業者持続的発展支援事業費補助金,0,2019-08-30
10053,5370202005235,有限会社長崎高原ファーム,水田活用の直接支払交付金,2518344,2018-12-11
10064,5370202005235,有限会社長崎高原ファーム,経営所得安定対策,385971,2015-05-26
10063,5370202005235,有限会社長崎高原ファーム,経営所得安定対策,596250,2015-12-08
10062,5370202005235,有限会社長崎高原ファーム,経営所得安定対策,1740000,2015-12-15
10061,5370202005235,有限会社長崎高原ファーム,経営所得安定対策,816060,2015-12-22
10060,5370202005235,有限会社長崎高原ファーム,経営所得安定対策,348239,2016-02-16
10058,5370202005235,有限会社長崎高原ファーム,米の直接支払交付金,471000,2017-12-11
10057,5370202005235,有限会社長崎高原ファーム,水田活用の直接支払交付金,1894000,2017-12-21
10056,5370202005235,有限会社長崎高原ファーム,水田活用の直接支払交付金,914348,2018-01-19
10055,5370202005235,有限会社長崎高原ファーム,水田活用の直接支払交付金,300102,2018-02-22
10054,5370202005235,有限会社長崎高原ファーム,水田活用の直接支払交付金,15640,2018-03-23
10052,5370202005235,有限会社長崎高原ファーム,水田活用の直接支払交付金,278087,2019-03-01
10059,5370202005235,有限会社長崎高原ファーム,経営所得安定対策,50891,2016-03-22
10050,5370202005235,有限会社長崎高原ファーム,水田活用直接支払交付金,411429,2020-02-14
10039,5370202005235,有限会社長崎高原ファーム,水田活用直接支払交付金,1502200,2024-03-15
10040,5370202005235,有限会社長崎高原ファーム,水田活用直接支払交付金,666248,2023-12-20
10041,5370202005235,有限会社長崎高原ファーム,農業経営安定事業収入減少影響緩和対策交付金,273290,2023-06-21
10043,5370202005235,有限会社長崎高原ファーム,水田活用直接支払交付金,465635,2023-02-08
10051,5370202005235,有限会社長崎高原ファーム,水田活用直接支払交付金,2799252,2019-12-17
10042,5370202005235,有限会社長崎高原ファーム,水田活用直接支払交付金,67340,2023-03-15
10045,5370202005235,有限会社長崎高原ファーム,農業経営安定事業収入減少影響緩和対策交付金,316839,2022-06-21
10046,5370202005235,有限会社長崎高原ファーム,水田活用直接支払交付金,150220,2022-03-16
10047,5370202005235,有限会社長崎高原ファーム,水田活用直接支払交付金,467255,2022-02-10
10048,5370202005235,有限会社長崎高原ファーム,水田活用直接支払交付金,2483354,2021-12-15
10049,5370202005235,有限会社長崎高原ファーム,水田活用直接支払交付金,139060,2020-03-19
10044,5370202005235,有限会社長崎高原ファーム,水田活用直接支払交付金,2348598,2022-12-16
10065,5370202005243,有限会社小山牧場,環境負荷軽減型持続的生産支援,387000,2024-02-19
10066,5370202005243,有限会社小山牧場,持続的生産支援交付金／環境負荷軽減型持続的生産支援事業,387000,2023-03-23
10067,5370202005243,有限会社小山牧場,持続的酪農経営支援事業交付金,387000,2022-03-16
10068,5370202005243,有限会社小山牧場,酪農負荷軽減型酪農経営支援事業,387000,2020-03-30
10069,5370203000219,合名会社川敬商店,酒類業振興支援事業,5000000,2024-04-24
10070,5370205000043,学校法人誠真学園,遠隔授業活用推進事業,544000,2021-03-16
10072,5370205000068,医療法人永仁会,令和３年度新型コロナウイルス感染症感染拡大防止継続支援補助金,100000,2022-03-30
10071,5370205000068,医療法人永仁会,令和３年度（令和２年度からの繰越分）インフルエンザ流行期における発熱外来診療体制確保支援補助金（インフルエンザ流行期に備えた発熱患者の外来診療・検査体制確保事業実施医療機関支援事業）,484000,2023-01-31
10073,5370205000084,医療法人社団佐藤医院,令和３年度新型コロナウイルス感染症感染拡大防止継続支援補助金,80000,2022-03-30
10074,5370205000084,医療法人社団佐藤医院,令和２年度新型コロナウイルス感染症感染拡大防止・医療提供体制確保支援補助金,750000,2021-07-12
10075,5370205001264,学校法人淑徳学園,学校保健特別対策事業費補助金（感染症対策等の学校教育活動継続支援事業）,42000,2021-11-17
10076,5370205001264,学校法人淑徳学園,学校保健特別対策事業費補助金（感染症対策等の学校教育活動継続支援事業）,241000,2021-11-17
10111,5370205001405,農事組合法人大崎あかべこ生産組合,経営所得安定対策,404364,2015-06-18
10096,5370205001405,農事組合法人大崎あかべこ生産組合,水田活用の直接支払交付金,2998300,2019-01-17
10097,5370205001405,農事組合法人大崎あかべこ生産組合,水田活用の直接支払交付金,4133000,2018-12-14
10098,5370205001405,農事組合法人大崎あかべこ生産組合,水田活用の直接支払交付金,4991000,2018-11-29
10099,5370205001405,農事組合法人大崎あかべこ生産組合,畑作物の直接支払交付金,786000,2018-09-21
10100,5370205001405,農事組合法人大崎あかべこ生産組合,水田活用の直接支払交付金,294860,2018-03-23
10101,5370205001405,農事組合法人大崎あかべこ生産組合,水田活用の直接支払交付金,1047245,2018-02-22
10102,5370205001405,農事組合法人大崎あかべこ生産組合,水田活用の直接支払交付金,2524940,2018-02-05
10105,5370205001405,農事組合法人大崎あかべこ生産組合,経営所得安定対策,471085,2016-02-23
10104,5370205001405,農事組合法人大崎あかべこ生産組合,水田活用の直接支払交付金,8802500,2017-12-20
10106,5370205001405,農事組合法人大崎あかべこ生産組合,経営所得安定対策,1041060,2015-12-22
10107,5370205001405,農事組合法人大崎あかべこ生産組合,経営所得安定対策,8311600,2015-12-15
10108,5370205001405,農事組合法人大崎あかべこ生産組合,経営所得安定対策,874500,2015-11-27
10109,5370205001405,農事組合法人大崎あかべこ生産組合,国産粗飼料増産対策事業,3192556,2015-10-19
10110,5370205001405,農事組合法人大崎あかべこ生産組合,経営所得安定対策,242000,2015-09-15
10103,5370205001405,農事組合法人大崎あかべこ生産組合,米の直接支払交付金,727500,2017-12-20
10095,5370205001405,農事組合法人大崎あかべこ生産組合,水田活用の直接支払交付金,687595,2019-03-01
10092,5370205001405,農事組合法人大崎あかべこ生産組合,水田活用直接支払交付金,2609800,2020-01-22
10093,5370205001405,農事組合法人大崎あかべこ生産組合,水田活用直接支払交付金,8261500,2019-12-17
10077,5370205001405,農事組合法人大崎あかべこ生産組合,水田活用直接支払交付金,264700,2024-03-22
10078,5370205001405,農事組合法人大崎あかべこ生産組合,水田活用直接支払交付金,1098550,2024-02-21
10079,5370205001405,農事組合法人大崎あかべこ生産組合,水田活用直接支払交付金,9202500,2023-12-06
10080,5370205001405,農事組合法人大崎あかべこ生産組合,農業経営安定事業収入減少影響緩和対策交付金,375657,2023-06-16
10081,5370205001405,農事組合法人大崎あかべこ生産組合,水田活用直接支払交付金,143960,2023-03-23
10082,5370205001405,農事組合法人大崎あかべこ生産組合,水田活用直接支払交付金,401058,2023-02-15
10083,5370205001405,農事組合法人大崎あかべこ生産組合,水田活用直接支払交付金,1480400,2023-01-18
10084,5370205001405,農事組合法人大崎あかべこ生産組合,水田活用直接支払交付金,8837000,2022-12-21
10085,5370205001405,農事組合法人大崎あかべこ生産組合,農業経営安定事業収入減少影響緩和対策交付金,716055,2022-06-21
10086,5370205001405,農事組合法人大崎あかべこ生産組合,水田活用直接支払交付金,361250,2022-03-23
10087,5370205001405,農事組合法人大崎あかべこ生産組合,水田活用直接支払交付金,1288954,2022-02-16
10088,5370205001405,農事組合法人大崎あかべこ生産組合,水田活用直接支払交付金,2347590,2022-01-19
10089,5370205001405,農事組合法人大崎あかべこ生産組合,水田活用直接支払交付金,9304500,2021-12-08
10090,5370205001405,農事組合法人大崎あかべこ生産組合,水田活用直接支払交付金,34680,2020-03-17
10091,5370205001405,農事組合法人大崎あかべこ生産組合,水田活用直接支払交付金,455426,2020-02-21
10094,5370205001405,農事組合法人大崎あかべこ生産組合,畑作物の直接支払交付金,1068000,2019-10-03
10112,5370205001413,医療法人社団遊心会,令和３年度新型コロナウイルス感染症感染拡大防止継続支援補助金,80000,2022-03-30
10114,5370205001438,医療法人社団静信会,令和３年度新型コロナウイルス感染症感染拡大防止継続支援補助金,100000,2022-02-21
10113,5370205001438,医療法人社団静信会,令和３年度（令和２年度からの繰越分）インフルエンザ流行期における発熱外来診療体制確保支援補助金（インフルエンザ流行期に備えた発熱患者の外来診療・検査体制確保事業実施医療機関支援事業）,6213000,2023-03-20
10115,5370205001454,農事組合法人城内農事実行組合,水田活用の直接支払交付金,7157,2018-01-19
10116,5370205001454,農事組合法人城内農事実行組合,米の直接支払交付金,12000,2017-12-11
10117,5370205001454,農事組合法人城内農事実行組合,経営所得安定対策,7000,2015-12-22
10118,5370205001454,農事組合法人城内農事実行組合,経営所得安定対策,14250,2015-12-08
10119,5370205001454,農事組合法人城内農事実行組合,経営所得安定対策,27271,2015-06-23
10120,5370205001529,栗原南部商工会,平成３１年度小規模事業者対策推進事業,0,2019-07-24
10121,5370205001529,栗原南部商工会,平成３０年度小規模事業者対策推進事業費補助金,0,2018-05-25
10122,5370205001776,農事組合法人水鳥,産地活性化総合対策事業,1191940,2015-06-25
10123,5370205001875,特定非営利活動法人未来産業創造おおさき,創業支援事業者補助金,4088406,2017-06-30
10124,5370205001917,医療法人米谷医院,令和３年度（令和２年度からの繰越分）インフルエンザ流行期における発熱外来診療体制確保支援補助金（インフルエンザ流行期に備えた発熱患者の外来診療・検査体制確保事業）,1815000,2022-03-31
10125,5370205001917,医療法人米谷医院,令和３年度新型コロナウイルス感染症対応医療機関労災給付上乗せ補償保険加入支援事業補助金,1500,2022-03-16
10126,5370205001917,医療法人米谷医院,令和２年度新型コロナウイルス感染症感染拡大防止・医療提供体制確保支援補助金,475000,2021-10-15
10127,5370205001933,一般社団法人加美町畜産公社,飼料自給率向上総合緊急対策費,1610000,2023-07-21
10151,5370205001990,農事組合法人王城寺ファーム,水田活用の直接支払交付金,125910,2018-03-23
10152,5370205001990,農事組合法人王城寺ファーム,水田活用の直接支払交付金,3106250,2018-02-08
10146,5370205001990,農事組合法人王城寺ファーム,水田活用直接支払交付金,10460840,2019-12-10
10148,5370205001990,農事組合法人王城寺ファーム,水田活用の直接支払交付金,3723402,2019-01-17
10149,5370205001990,農事組合法人王城寺ファーム,水田活用の直接支払交付金,9579400,2018-12-04
10153,5370205001990,農事組合法人王城寺ファーム,水田活用の直接支払交付金,1591150,2017-12-21
10150,5370205001990,農事組合法人王城寺ファーム,畑作物の直接支払交付金,748000,2018-09-14
10155,5370205001990,農事組合法人王城寺ファーム,米の直接支払交付金,1698000,2017-11-27
10156,5370205001990,農事組合法人王城寺ファーム,経営所得安定対策,726265,2016-03-18
10157,5370205001990,農事組合法人王城寺ファーム,経営所得安定対策,2449195,2016-02-05
10158,5370205001990,農事組合法人王城寺ファーム,経営所得安定対策,865600,2015-12-22
10159,5370205001990,農事組合法人王城寺ファーム,経営所得安定対策,7856750,2015-12-01
10160,5370205001990,農事組合法人王城寺ファーム,経営所得安定対策,1098000,2015-09-15
10145,5370205001990,農事組合法人王城寺ファーム,水田活用直接支払交付金,3982444,2020-01-22
10154,5370205001990,農事組合法人王城寺ファーム,水田活用の直接支払交付金,6480000,2017-12-14
10144,5370205001990,農事組合法人王城寺ファーム,水田活用直接支払交付金,644460,2020-03-17
10147,5370205001990,農事組合法人王城寺ファーム,畑作物の直接支払交付金,720000,2019-10-03
10142,5370205001990,農事組合法人王城寺ファーム,畑作物の直接支払交付金,824000,2021-10-13
10128,5370205001990,農事組合法人王城寺ファーム,畑作物の直接支払交付金,156595,2024-03-15
10129,5370205001990,農事組合法人王城寺ファーム,水田活用直接支払交付金,440600,2024-03-15
10130,5370205001990,農事組合法人王城寺ファーム,水田活用直接支払交付金,3239665,2024-01-19
10131,5370205001990,農事組合法人王城寺ファーム,水田活用直接支払交付金,10835800,2023-12-13
10132,5370205001990,農事組合法人王城寺ファーム,畑地化促進事業（Ｒ４補正２号）,5270500,2023-12-13
10133,5370205001990,農事組合法人王城寺ファーム,畑作物の直接支払交付金,1448000,2023-10-11
10134,5370205001990,農事組合法人王城寺ファーム,水田活用直接支払交付金,454700,2023-03-15
10143,5370205001990,農事組合法人王城寺ファーム,畑作物の直接支払交付金,9960,2020-03-17
10136,5370205001990,農事組合法人王城寺ファーム,水田活用直接支払交付金,11870600,2022-12-07
10137,5370205001990,農事組合法人王城寺ファーム,畑作物の直接支払交付金,1218000,2022-10-12
10138,5370205001990,農事組合法人王城寺ファーム,水田活用直接支払交付金,891830,2022-03-16
10139,5370205001990,農事組合法人王城寺ファーム,畑作物の直接支払交付金,293890,2022-03-16
10140,5370205001990,農事組合法人王城寺ファーム,水田活用直接支払交付金,4023452,2022-01-19
10135,5370205001990,農事組合法人王城寺ファーム,水田活用直接支払交付金,3466100,2023-02-01
10141,5370205001990,農事組合法人王城寺ファーム,水田活用直接支払交付金,11716100,2021-12-13
10161,5370301000120,石巻コミュニテイ放送株式会社,地上基幹放送等に関する耐災害性強化支援事業,594000,2024-03-07
10162,5370301000979,南光運輸株式会社,時間外労働等改善助成金,500000,2018-08-02
10163,5370301001457,株式会社街づくりまんぼう,文化施設の感染症防止対策事業,236000,2020-08-12
10164,5370301002918,株式会社海遊,平成２９年度小規模事業者支援パッケージ事業費補助金,0,2018-07-19
10165,5370301003040,株式会社クロックサウンド,コロナ禍を乗り越えるための文化芸術活動の充実支援事業,6000000,2021-11-12
10166,5370301003503,株式会社佐藤石油,平成２９年度小規模事業者支援パッケージ事業費補助金,0,2018-07-19
10167,5370301003503,株式会社佐藤石油,中小企業最低賃金引上げ支援対策費補助金,1000000,2017-12-27
10168,5370302000904,有限会社穀町調剤薬局,令和３年度新型コロナウイルス感染症感染拡大防止継続支援補助金,60000,2021-12-28
10169,5370302001654,有限会社ティスティ伊藤,平成３０年度小規模事業者持続的発展支援事業費補助金,0,2019-08-30
10170,5370302001919,有限会社日和建設工業,平成３０年度小規模事業者持続的発展支援事業費補助金,0,2019-07-31
10171,5370302002223,有限会社万石調剤薬局,令和３年度新型コロナウイルス感染症感染拡大防止継続支援補助金,60000,2021-12-28
10172,5370305000406,社会福祉法人旭壽会,電力需要の低減に資する設備投資支援事業費補助金,721333,2019-08-30
10173,5370305000430,医療法人社団伊藤内科クリニック,令和３年度新型コロナウイルス感染症感染拡大防止継続支援補助金,80000,2022-02-21
10174,5370305000430,医療法人社団伊藤内科クリニック,令和２年度新型コロナウイルス感染症感染拡大防止・医療提供体制確保支援補助金,250000,2021-07-25
10175,5370305000455,医療法人社団中川内科外科医院,令和３年度（令和２年度からの繰越分）新型インフルエンザ流行期における発熱外来診療体制確保支援補助金（インフルエンザ流行期に備えた発熱患者の外来診療・検査体制確保事業）,11030000,2021-06-10
10176,5370305000463,医療法人社団博秀会藤野歯科クリニック,令和３年度新型コロナウイルス感染症感染拡大防止継続支援補助金,80000,2021-12-28
10177,5370305000645,医療法人社団いしがきみみはなのどクリニック,令和３年度新型コロナウイルス感染症感染拡大防止継続支援補助金,80000,2021-12-28
10194,5370305000843,株式会社ゆいっこ,畑作物の直接支払交付金,2712000,2019-09-18
10195,5370305000843,株式会社ゆいっこ,畑作物の直接支払交付金,122335,2019-03-13
10196,5370305000843,株式会社ゆいっこ,水田活用の直接支払交付金,4036200,2018-12-14
10197,5370305000843,株式会社ゆいっこ,畑作物の直接支払交付金,1922000,2018-08-31
10198,5370305000843,株式会社ゆいっこ,畑作物の直接支払交付金,106980,2018-03-23
10199,5370305000843,株式会社ゆいっこ,水田活用の直接支払交付金,55660,2018-03-23
10201,5370305000843,株式会社ゆいっこ,水田活用の直接支払交付金,1694000,2017-12-19
10193,5370305000843,株式会社ゆいっこ,水田活用直接支払交付金,4746000,2019-12-17
10202,5370305000843,株式会社ゆいっこ,米の直接支払交付金,2886000,2017-11-30
10203,5370305000843,株式会社ゆいっこ,経営所得安定対策,809666,2015-12-22
10204,5370305000843,株式会社ゆいっこ,経営所得安定対策,2339250,2015-12-02
10205,5370305000843,株式会社ゆいっこ,経営所得安定対策,3098439,2015-05-26
10200,5370305000843,株式会社ゆいっこ,水田活用の直接支払交付金,555136,2018-01-24
10192,5370305000843,株式会社ゆいっこ,水田活用直接支払交付金,1342440,2020-01-17
10186,5370305000843,株式会社ゆいっこ,畑作物の直接支払交付金,3412000,2022-09-21
10190,5370305000843,株式会社ゆいっこ,水田活用直接支払交付金,14899500,2021-12-20
10191,5370305000843,株式会社ゆいっこ,畑作物の直接支払交付金,2824000,2020-09-18
10178,5370305000843,株式会社ゆいっこ,水田活用直接支払交付金,892800,2024-03-15
10179,5370305000843,株式会社ゆいっこ,水田活用直接支払交付金,3990666,2024-02-07
10180,5370305000843,株式会社ゆいっこ,畑作物産地形成促進事業,7960000,2023-12-15
10182,5370305000843,株式会社ゆいっこ,畑作物の直接支払交付金,3974000,2023-09-20
10183,5370305000843,株式会社ゆいっこ,水田活用直接支払交付金,1242740,2023-03-15
10181,5370305000843,株式会社ゆいっこ,水田活用直接支払交付金,28459100,2023-12-15
10185,5370305000843,株式会社ゆいっこ,水田活用直接支払交付金,29421530,2022-12-16
10187,5370305000843,株式会社ゆいっこ,畑作物の直接支払交付金,3111570,2022-03-16
10188,5370305000843,株式会社ゆいっこ,水田活用直接支払交付金,1977570,2022-03-16
10189,5370305000843,株式会社ゆいっこ,水田活用直接支払交付金,19813610,2022-01-19
10184,5370305000843,株式会社ゆいっこ,水田活用直接支払交付金,5097541,2023-02-08
10227,5370305000975,農事組合法人みのり,畑作物の直接支払交付金,1520000,2018-08-31
10222,5370305000975,農事組合法人みのり,水田活用直接支払交付金,170000,2020-03-17
10223,5370305000975,農事組合法人みのり,水田活用直接支払交付金,1284030,2020-01-17
10224,5370305000975,農事組合法人みのり,水田活用直接支払交付金,8424500,2019-12-17
10225,5370305000975,農事組合法人みのり,畑作物の直接支払交付金,2594000,2019-09-18
10228,5370305000975,農事組合法人みのり,畑作物の直接支払交付金,329755,2018-03-23
10234,5370305000975,農事組合法人みのり,経営所得安定対策,10373254,2015-12-02
10235,5370305000975,農事組合法人みのり,経営所得安定対策,961704,2015-05-26
10231,5370305000975,農事組合法人みのり,水田活用の直接支払交付金,9784146,2017-12-19
10232,5370305000975,農事組合法人みのり,米の直接支払交付金,2955750,2017-11-30
10233,5370305000975,農事組合法人みのり,経営所得安定対策,948450,2015-12-22
10221,5370305000975,農事組合法人みのり,畑作物の直接支払交付金,1010000,2020-09-18
10229,5370305000975,農事組合法人みのり,水田活用の直接支払交付金,143075,2018-03-23
10220,5370305000975,農事組合法人みのり,水田活用直接支払交付金,9900000,2021-12-20
10230,5370305000975,農事組合法人みのり,水田活用の直接支払交付金,1828501,2018-01-24
10218,5370305000975,農事組合法人みのり,畑作物の直接支払交付金,667300,2022-03-16
10219,5370305000975,農事組合法人みのり,水田活用直接支払交付金,26440896,2022-01-19
10206,5370305000975,農事組合法人みのり,水田活用直接支払交付金,794100,2024-03-15
10207,5370305000975,農事組合法人みのり,畑作物の直接支払交付金,316390,2024-03-15
10208,5370305000975,農事組合法人みのり,水田活用直接支払交付金,3589761,2024-02-07
10209,5370305000975,農事組合法人みのり,畑作物産地形成促進事業,4036000,2023-12-15
10210,5370305000975,農事組合法人みのり,水田活用直接支払交付金,35073990,2023-12-15
10211,5370305000975,農事組合法人みのり,畑作物の直接支払交付金,2358000,2023-09-20
10226,5370305000975,農事組合法人みのり,水田活用の直接支払交付金,7892000,2018-12-14
10213,5370305000975,農事組合法人みのり,水田活用直接支払交付金,4587541,2023-02-08
10212,5370305000975,農事組合法人みのり,水田活用直接支払交付金,1037740,2023-03-15
10214,5370305000975,農事組合法人みのり,水田活用直接支払交付金,36294070,2022-12-16
10215,5370305000975,農事組合法人みのり,畑作物の直接支払交付金,1718000,2022-09-21
10216,5370305000975,農事組合法人みのり,農業経営安定事業収入減少影響緩和対策交付金,5073063,2022-06-21
10217,5370305000975,農事組合法人みのり,水田活用直接支払交付金,1239000,2022-03-16
10240,5370401000061,株式会社只野組,経営所得安定対策,335859,2015-06-25
10238,5370401000061,株式会社只野組,米の直接支払交付金,354750,2017-12-05
10239,5370401000061,株式会社只野組,経営所得安定対策,354750,2015-12-04
10236,5370401000061,株式会社只野組,農業経営安定事業収入減少影響緩和対策交付金,492304,2023-06-21
10237,5370401000061,株式会社只野組,農業経営安定事業収入減少影響緩和対策交付金,888794,2022-06-23
10241,5370401000490,株式会社菅原屋,電力需要の低減に資する設備投資支援事業費補助金,1666666,2019-08-30
10251,5370401000920,株式会社櫻井農場,水田活用直接支払交付金,3118600,2019-12-17
10257,5370401000920,株式会社櫻井農場,経営所得安定対策,198954,2015-05-26
10256,5370401000920,株式会社櫻井農場,経営所得安定対策,231750,2015-12-04
10255,5370401000920,株式会社櫻井農場,経営所得安定対策,1709245,2015-12-24
10254,5370401000920,株式会社櫻井農場,米の直接支払交付金,295500,2017-12-05
10253,5370401000920,株式会社櫻井農場,水田活用の直接支払交付金,3166397,2017-12-21
10252,5370401000920,株式会社櫻井農場,水田活用の直接支払交付金,6161200,2018-12-11
10250,5370401000920,株式会社櫻井農場,水田活用直接支払交付金,3363000,2020-03-17
10246,5370401000920,株式会社櫻井農場,中小企業最低賃金引上げ支援対策費補助金（業務改善助成金）,985000,2023-03-02
10248,5370401000920,株式会社櫻井農場,水田活用直接支払交付金,1122500,2022-03-16
10247,5370401000920,株式会社櫻井農場,水田活用直接支払交付金,4446900,2022-12-14
10245,5370401000920,株式会社櫻井農場,水田活用直接支払交付金,1727500,2023-03-15
